"Actual","Predicted","nPredictions"
"Away Win","Away Win","154"
"Away Win","Draw","29"
"Away Win","Home Win","25"
"Draw","Away Win","47"
"Draw","Draw","94"
"Draw","Home Win","46"
"Home Win","Away Win","35"
"Home Win","Draw","52"
"Home Win","Home Win","229"
"Away Win","Away Win","159"
"Away Win","Draw","25"
"Away Win","Home Win","24"
"Draw","Away Win","48"
"Draw","Draw","93"
"Draw","Home Win","46"
"Home Win","Away Win","40"
"Home Win","Draw","51"
"Home Win","Home Win","225"
"Away Win","Away Win","150"
"Away Win","Draw","28"
"Away Win","Home Win","30"
"Draw","Away Win","48"
"Draw","Draw","96"
"Draw","Home Win","43"
"Home Win","Away Win","36"
"Home Win","Draw","50"
"Home Win","Home Win","230"
"Away Win","Away Win","148"
"Away Win","Draw","34"
"Away Win","Home Win","26"
"Draw","Away Win","38"
"Draw","Draw","104"
"Draw","Home Win","45"
"Home Win","Away Win","31"
"Home Win","Draw","61"
"Home Win","Home Win","224"
"Away Win","Away Win","156"
"Away Win","Draw","28"
"Away Win","Home Win","24"
"Draw","Away Win","42"
"Draw","Draw","99"
"Draw","Home Win","46"
"Home Win","Away Win","33"
"Home Win","Draw","58"
"Home Win","Home Win","225"
"Away Win","Away Win","157"
"Away Win","Draw","24"
"Away Win","Home Win","27"
"Draw","Away Win","43"
"Draw","Draw","99"
"Draw","Home Win","45"
"Home Win","Away Win","33"
"Home Win","Draw","54"
"Home Win","Home Win","229"
"Away Win","Away Win","155"
"Away Win","Draw","29"
"Away Win","Home Win","24"
"Draw","Away Win","41"
"Draw","Draw","97"
"Draw","Home Win","49"
"Home Win","Away Win","37"
"Home Win","Draw","54"
"Home Win","Home Win","225"
"Away Win","Away Win","160"
"Away Win","Draw","29"
"Away Win","Home Win","19"
"Draw","Away Win","47"
"Draw","Draw","98"
"Draw","Home Win","42"
"Home Win","Away Win","37"
"Home Win","Draw","57"
"Home Win","Home Win","222"
"Away Win","Away Win","150"
"Away Win","Draw","34"
"Away Win","Home Win","24"
"Draw","Away Win","42"
"Draw","Draw","103"
"Draw","Home Win","42"
"Home Win","Away Win","34"
"Home Win","Draw","60"
"Home Win","Home Win","222"
"Away Win","Away Win","155"
"Away Win","Draw","27"
"Away Win","Home Win","26"
"Draw","Away Win","43"
"Draw","Draw","100"
"Draw","Home Win","44"
"Home Win","Away Win","37"
"Home Win","Draw","50"
"Home Win","Home Win","229"